Date/Time,Electricity:Facility [J](TimeStep),InteriorLights:Electricity [J](TimeStep),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),DistrictCooling:Facility [J](Hourly),DistrictHeating:Facility [J](Hourly),Carbon Equivalent:Facility [kg](Hourly),DistrictCooling:Facility [J](TimeStep),DistrictHeating:Facility [J](TimeStep),Carbon Equivalent:Facility [kg](TimeStep) 
 06/23  05:10:00,12090.749999999998,12090.749999999998,,,,,,387516.36991915028,104693.01964533475,0.0 
 06/23  05:20:00,12090.749999999998,12090.749999999998,,,,,,381783.668983468,104693.01964533475,0.0 
 06/23  05:30:00,12090.749999999998,12090.749999999998,,,,,,377437.5641451619,104693.01964533475,0.0 
 06/23  05:40:00,12090.749999999998,12090.749999999998,,,,,,374363.2541244096,104693.01964533475,0.0 
 06/23  05:50:00,12090.749999999998,12090.749999999998,,,,,,372109.3316652442,104693.01964533475,0.0 
 06/23  06:00:00,12090.749999999998,12090.749999999998,72544.49999999999,72544.49999999999,2263609.2727793769,628158.1178720085,0.0,370399.08394194269,104693.01964533475,0.0 
 06/23  06:10:00,76119.11021866904,76119.11021866904,,,,,,415707.8743761444,299646.29635768968,0.0 
 06/23  06:20:00,74896.86161267467,74896.86161267467,,,,,,419975.749582519,299646.29635768968,0.0 
 06/23  06:30:00,73754.36508930853,73754.36508930853,,,,,,425175.21726248299,299646.29635768968,0.0 
 06/23  06:40:00,72769.74584663971,72769.74584663971,,,,,,430726.16403484056,299646.29635768968,0.0 
 06/23  06:50:00,71859.22187584166,71859.22187584166,,,,,,436346.84641368759,299646.29635768968,0.0 
 06/23  07:00:00,71023.04803086864,71023.04803086864,440422.35267400226,440422.35267400226,2569967.785277184,1797877.778146138,0.0,442035.9336075091,299646.29635768968,0.0 
 06/23  07:10:00,69899.09512299598,69899.09512299598,,,,,,447243.0976902923,291137.31191314329,0.0 
 06/23  07:20:00,68575.13836225686,68575.13836225686,,,,,,455080.7904147963,291137.31191314329,0.0 
 06/23  07:30:00,67549.69147438192,67549.69147438192,,,,,,462893.9140197508,291137.31191314329,0.0 
 06/23  07:40:00,66836.83300549367,66836.83300549367,,,,,,470831.42500245469,291137.31191314329,0.0 
 06/23  07:50:00,65991.17950008677,65991.17950008677,,,,,,478730.3689452654,291137.31191314329,0.0 
 06/23  08:00:00,65055.28834293769,65055.28834293769,403907.22580815289,403907.22580815289,2801480.19045217,1746823.8714788599,0.0,486700.59437961076,291137.31191314329,0.0 
 06/23  08:10:00,63788.59374430508,63788.59374430508,,,,,,339681.0192818762,70657.08186714922,0.0 
 06/23  08:20:00,62520.77525012913,62520.77525012913,,,,,,342244.6017976892,70657.08186714922,0.0 
 06/23  08:30:00,61252.24474101777,61252.24474101777,,,,,,344755.82090395517,70657.08186714922,0.0 
 06/23  08:40:00,60148.53028429269,60148.53028429269,,,,,,347465.01839476908,70657.08186714922,0.0 
 06/23  08:50:00,59050.697067082336,59050.697067082336,,,,,,350168.5943197771,70657.08186714922,0.0 
 06/23  09:00:00,57959.79791147277,57959.79791147277,364720.63899829986,364720.63899829986,2077541.8286756785,423942.4912028953,0.0,353226.7739776117,70657.08186714922,0.0 
 06/23  09:10:00,0.0,0.0,,,,,,0.0,0.0,0.0 
