time,G(i),H_sun,T2m,WS10m,Int
20160120:0309,0.0,0.0,7.18,5.85,0.0
20160120:0409,0.0,0.0,7.74,7.26,0.0
20160120:0509,0.0,0.0,8.31,8.67,0.0
20160120:0609,15.0,4.84,8.88,10.08,0.0
20160120:0709,90.0,14.48,9.74,10.69,0.0
20160120:0809,65.0,22.59,10.59,11.31,0.0
20160120:0909,52.0,28.53,11.45,11.92,0.0
20160120:1009,47.0,31.61,11.51,10.49,0.0
20160120:1109,57.0,31.37,11.58,9.07,0.0
20160120:1209,66.0,27.85,11.64,7.64,0.0
20160120:1309,38.0,21.55,11.23,7.82,0.0
20160120:1409,33.0,13.19,10.82,8.0,0.0
20160120:1509,3.0,3.38,10.41,8.18,0.0
20160120:1609,0.0,0.0,9.83,7.94,0.0
20160120:1709,0.0,0.0,9.25,7.71,0.0
20160120:1809,0.0,0.0,8.68,7.48,0.0
20160120:1909,0.0,0.0,8.4,7.45,0.0
20160120:2009,0.0,0.0,8.13,7.43,0.0
20160120:2109,0.0,0.0,7.86,7.41,0.0
20160120:2209,0.0,0.0,7.89,7.31,0.0
20160120:2309,0.0,0.0,7.92,7.2,0.0
20160121:0009,0.0,0.0,7.95,7.1,0.0
20160121:0109,0.0,0.0,7.27,6.67,0.0
20160121:0209,0.0,0.0,6.59,6.24,0.0
20160121:0309,0.0,0.0,5.92,5.81,0.0
20160121:0409,0.0,0.0,5.72,5.87,0.0
20160121:0509,0.0,0.0,5.52,5.94,0.0
20160121:0609,22.0,4.94,5.33,6.0,0.0
20160121:0709,113.0,14.6,6.76,5.7,0.0
20160121:0809,229.0,22.74,8.2,5.39,0.0
20160121:0909,469.01,28.71,9.63,5.09,0.0
20160121:1009,527.01,31.82,10.23,4.7,0.0
20160121:1109,503.01,31.6,10.82,4.32,0.0
20160121:1209,352.0,28.08,11.42,3.93,0.0
20160121:1309,199.0,21.78,11.32,3.68,0.0
20160121:1409,135.0,13.4,11.22,3.43,0.0
20160121:1509,25.96,3.58,11.12,3.19,0.0
20160121:1609,0.0,0.0,10.7,3.29,0.0
20160121:1709,0.0,0.0,10.29,3.39,0.0
20160121:1809,0.0,0.0,9.88,3.49,0.0
20160121:1909,0.0,0.0,9.5,3.44,0.0
20160121:2009,0.0,0.0,9.13,3.39,0.0
20160121:2109,0.0,0.0,8.75,3.34,0.0
20160121:2209,0.0,0.0,8.44,3.78,0.0
20160121:2309,0.0,0.0,8.12,4.23,0.0
20160122:0009,0.0,0.0,7.81,4.68,0.0
20160122:0109,0.0,0.0,7.19,5.56,0.0
20160122:0209,0.0,0.0,6.57,6.45,0.0
20160122:0309,0.0,0.0,5.96,7.34,0.0
20160122:0409,0.0,0.0,6.01,7.84,0.0
20160122:0509,0.0,0.0,6.06,8.35,0.0
20160122:0609,19.0,5.05,6.11,8.86,0.0
20160122:0709,100.0,14.73,7.33,9.24,0.0
20160122:0809,112.0,22.9,8.55,9.63,0.0
20160122:0909,115.0,28.91,9.77,10.01,0.0
